L     -3   -5   -9   -6    0   -7   -6    2   -2    5    3   -3   -5   -4   -4   -8   -3    0   -2   -3   -1 
M     -2   -6  -14   -3   -2   -6   -5    1   -3    2    9   -5   -5   -6   -7   -7   -4   -2   -1   -2    1 
N      1   -5    5    1    3    1    3   -1    4    1    1    7   -1    3    3    3    0   -3   -4    4    0 
P      0   -6   -1   -1   -5   -3    1   -2   -2   -3   -7   -2    9   -3   -1   -1    0   -6   -3   -1   -4 
Q     -2   -7   -1    2   -3   -3    1   -5    1   -2   -2   -1   -1    6    1   -2    0   -3   -4   -2   -3 
R     -3   -8   -1    1   -3   -2    1   -2    2   -1   -2   -3   -2    2    6   -1   -1   -1   -3    0   -4 
S      1   -9   -2   -2   -3   -1   -3   -4   -1   -3   -4    0    3   -2   -2    5    2    0   -4   -2   -2 
T     -3   -9   -2   -2   -3   -4   -4    0   -2   -2   -1   -4   -2   -2   -1    0    6   -1   -7   -2   -2 
V     -2   -7   -8   -5   -4   -8   -4    2   -6   -2   -1   -6   -4   -5   -6   -8   -1    4   -3   -5    0 
W     -2   -8   -6  -12    5   -5    2   -2  -11   -2    0   -6   -3   -3   -3   -4  -10   -6   14    1   -6 
Y     -2   -4   -3   -6    4   -5    1    1   -6    1   -2   -3   -5   -3   -1   -7   -1   -1    3    8   -2 
J     -6   -3   -1   -4   -5   -4   -6   -3   -4    1   -1   -3   -5   -2   -8   -4   -4   -2   -6   -2   15 
U     -6   16   -5   -7   -7   -6   -9   -6   -6   -3   -3   -6   -8   -5  -10   -6   -6   -5   -6   -5   11 
>PaSON 40
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      6   -3   -3   -1   -4   -1   -4   -2   -2   -2   -1   -4   -2   -2   -3    1    0    0   -5   -4    1 
C     -1   18   -8   -8   -5   -9  -10  -10  -10   -8   -4   -9  -13   -9  -10   -8   -7   -8   -5   -6    2 
D     -3   -6   10    1   -6   -3   -4   -6   -2   -8   -8    1   -5   -1   -4   -1   -2   -4   -7   -5   -6 
E     -3   -8    0    8   -7   -5   -3   -9   -1   -7   -4   -2   -4    2   -3   -2   -2   -4   -7   -6  -10 
F     -3   -3   -7   -7    9   -7   -2    1   -6    2    1   -5   -4   -4   -6   -5   -4   -1    4    5   -2 
G      2   -4   -2   -1   -3    9   -3   -7   -3   -4   -5   -1   -4   -2   -1    1   -2   -5   -6   -6   -2 
H     -4   -9   -3   -2   -2   -5   13   -4   -1   -5   -5    0   -3    2    0   -3   -3   -6   -4    1   -2 
I     -2  -10   -7   -4    0   -8   -5    7   -4    3    2   -5   -3   -4   -5   -5   -2    4   -3   -1   -1 
K     -4  -10   -3   -1   -7   -5   -3   -5    8   -5   -4   -1   -4    0    2   -3   -2   -3   -7   -5   -6 
L     -2   -6   -6   -5    2   -7   -5    3   -3    7    3   -5   -4   -3   -4   -5   -2    2   -2   -1   -2 
M     -1   -2   -8   -3    1   -6   -3    3   -2    4   10   -3   -4    1   -3   -3   -1    1   -2    0    1 
N     -2   -6    2   -1   -2   -2    1   -5   -1   -3   -1    9   -3    0   -1    1    0   -6   -6   -3   -4 
P     -3  -10   -4   -3   -6   -5   -4   -5   -4   -6   -6   -3   11   -3   -4   -2   -2   -6   -7   -5   -5 
Q     -5   -8   -2    2   -5   -4    0   -6    1   -5   -1    0   -3    9    0   -2   -2   -5   -5   -5   -1 
R     -4   -8   -3   -1   -7   -4   -1   -6    4   -4   -4   -2   -4    0   10   -2   -3   -5   -4   -4   -5 
S      0   -7   -2   -2   -5   -1   -4   -6   -3   -5   -3    0    0   -2   -3    7    2   -3   -7   -5   -2 
T     -1   -8   -3   -1   -5   -4   -3   -3   -3   -4   -2   -1   -2   -2   -3    2    7   -2   -9   -5   -1 
V      0   -8   -7   -4   -1   -6   -5    4   -5    1    1   -5   -3   -3   -5   -4   -1    6   -3   -2    1 
W     -3   -8   -7   -3    4   -6   -3   -3   -7   -2   -1   -8   -5   -2   -5   -5   -7   -4   15    3   -8 
Y     -2   -5   -4   -4    4   -6    1   -1   -2   -1   -1   -3   -4   -3   -3   -4   -3   -2    2   11   -3 
J      3    0   -4   -9   -1   -3    0   -1   -5    0    1   -3   -2    0   -4    0    1    1   -6   -2   17 
U      1   16   -6   -8   -3   -6   -3   -4   -8   -3   -1   -6   -5   -4   -7   -3   -2   -2   -5   -4   13 
>PaSOn 41
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      6   -4   -3   -1   -4   -1   -4   -2   -2   -2   -1   -3   -1   -2   -4    1    0    0   -5   -4    1 
C     -2   18   -8   -9   -5   -8   -9   -9  -10   -8   -4   -7  -12   -8  -10   -8   -7   -8   -5   -6   -2 
D     -3   -6   10    1   -6   -2   -4   -6   -2   -7   -7    1   -3   -2   -4   -1   -2   -5   -7   -5   -6 
E     -2   -8    0    8   -6   -4   -3   -7   -1   -6   -4   -1   -3    1   -3   -3   -2   -4   -7   -5   -9 
F     -3   -3   -7   -7    9   -7   -1    1   -5    2    1   -4   -4   -4   -7   -5   -4   -1    4    5   -2 
G      1   -5   -1   -1   -4    9   -3   -7   -3   -5   -4    0   -4   -3   -2    3   -2   -5   -6   -5   -3 
H     -3   -8   -3   -1   -1   -4   14   -4   -1   -4   -4    1   -3    2    0   -3   -3   -6   -4    1   -2 
I     -2   -9   -7   -4    0   -7   -5    7   -4    3    2   -4   -3   -4   -6   -5   -2    4   -2   -1   -1 
K     -3   -9   -2    0   -6   -4   -2   -5    8   -4   -3   -1   -3    0    2   -3   -2   -3   -7   -4   -5 
L     -2   -7   -7   -5    2   -7   -4    3   -3    7    4   -3   -4   -3   -4   -5   -2    2   -2   -1   -1 
M     -1   -3   -8   -3    1   -6   -3    3   -2    4   10   -2   -4    3   -4    0   -1    1   -2    0    3 
N     -2   -6    1    0   -3   -2    0   -5    0   -4   -2    9   -3   -1   -1    0   -1   -5   -6   -2   -4 
P     -2  -10   -4   -3   -6   -4   -4   -4   -4   -5   -6   -3   11   -3   -4   -2   -2   -5   -7   -5   -6 
Q     -3   -7   -2    2   -4   -4    0   -5    1   -4   -1   -1   -2    9    0   -2   -2   -4   -5   -4    2 
R     -3   -7   -3    0   -6   -4   -1   -5    4   -4   -3   -1   -4    0   11   -3   -2   -4   -4   -3   -4 
S      0   -7   -2   -1   -5   -1   -4   -5   -2   -5   -3    0    0   -1   -3    6    2   -3   -6   -4   -1 
T     -1   -7   -3   -1   -4   -4   -3   -2   -2   -3   -2   -1   -2    0   -3    1    7   -1   -8   -4    0 
V      0   -8   -7   -3   -1   -6   -5    4   -4    1    0   -4   -3   -4   -5   -4    0    6   -3   -2    0 
W     -4   -7   -7   -3    4   -6   -3   -3   -6   -2   -1   -7   -5   -3   -6   -5   -7   -4   15    3   -7 
Y     -3   -5   -4   -4    4   -6    1   -1   -3   -1   -1   -2   -4   -4   -4   -4   -3   -2    2   11   -3 
J      3   -1   -5   -8   -1   -3   -1   -1   -5    0    1   -2   -2    7   -5   -1    1    1   -6   -2   16 
U      0   16   -6   -8   -3   -5   -4   -4   -7   -3   -1   -4   -6    3   -7   -4   -2   -2   -5   -4   12 
>PaSoN 42
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      6   -4   -6   -1   -4   -1   -4   -2   -2   -2   -1   -4   -1   -2   -3    0   -1    0   -5   -3    1 
C     -2   18  -10   -8   -5   -8  -10   -9  -11   -8   -4   -1  -12   -9  -11   -8   -7   -8   -5   -6    2 
D     -3   -6   11    1   -6   -2   -4   -6   -2   -7   -7    2   -3   -1   -3    0   -2   -5   -7   -5   -6 
E     -2   -8   -2    8   -6   -4   -3   -7   -1   -6   -4   -2   -3    2   -2   -3   -2   -4   -7   -5   -9 
F     -3   -3  -10   -7    9   -7   -1    1   -6    2    1   -5   -4   -3   -6   -5   -4   -1    4    5   -2 
G      1   -5   -2   -1   -4    9   -3   -7   -2   -5   -5   -1   -4   -2   -1    1   -2   -5   -5   -6   -3 
H     -3   -8   -5   -1   -1   -4   13   -4   -1   -4   -4    0   -3    2    0   -3   -3   -6   -3    0   -2 
I     -2   -9   -9   -4    0   -7   -5    7   -4    3    2   -5   -3   -4   -6   -5   -1    4   -3   -1    0 
K     -3   -9   -5   -1   -6   -4   -2   -5    8   -4   -3   -1   -3    0    2   -3   -2   -3   -7   -4   -6 
L     -2   -7   -6   -5    2   -7   -4    3   -4    7    3   -4   -4   -3   -4   -5   -3    2   -1   -1   -1 
M     -1   -3  -10   -3    1   -6   -3    3   -2    4   10    0   -4    1   -3   -3   -2    1   -1   -1    1 
N     -2   -6    1    0   -3   -2    1   -5    0   -4   -2    9   -3    0   -1    1    0   -5   -6   -2   -5 
P     -2  -10   -6   -3   -6   -4   -3   -4   -4   -5   -6   -3   11   -3   -4   -1   -2   -5   -6   -5   -5 
Q     -3   -7   -5    2   -4   -4    0   -5    1   -4    0   -1   -2    9    0   -2   -2   -4   -4   -5   -3 
R     -3   -7   -6   -1   -6   -4   -1   -5    4   -4   -3   -2   -4    0   10   -3   -3   -4   -4   -3   -5 
S      0   -7   -4   -2   -5   -1   -4   -5   -3   -5   -3    1    0   -2   -2    7    2   -3   -6   -4   -2 
T     -1   -7   -5   -1   -4   -4   -3   -2   -3   -3   -2    0   -2   -1   -3    2    7   -1   -9   -4   -2 
V      0   -8   -9   -4   -1   -6   -5    4   -5    1    1   -4   -3   -3   -5   -4   -1    6   -3   -2    1 
W     -4   -7   -9   -3    4   -6   -3   -3   -7   -2   -1   -8   -5   -2   -5   -5   -7   -4   15    2   -8 
Y     -3   -5   -6   -3    4   -6    1   -1   -3   -1   -1   -3   -4   -3   -3   -4   -3   -2    2   11   -3 
J      3   -1   -6   -9   -1   -3    1   -1   -6    0    1   -2   -2    0   -4   -1    1    1   -6   -2   17 
U      0   16   -8   -8   -3   -5   -3   -4   -8   -3   -2   -1   -6   -4   -7   -4   -2   -2   -5   -4   13 
>PaSon 43
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      6   -4   -4   -2   -4   -1   -5   -2   -2   -2   -1   -3   -1   -2   -3    1    0    0   -5   -3    1 
C     -3   18   -8   -9   -5   -8   -9   -9  -11   -8   -4   -7  -11   -7  -10   -8   -6   -8   -5   -6   -1 
D     -2   -6    9    0   -6   -2   -4   -6   -2   -6   -7    3   -3   -1   -3   -1   -2   -5   -7   -5   -6 
E     -2   -7    0    8   -6   -4   -3   -6    0   -5   -4    0   -2    2   -2   -3   -2   -4   -7   -4   -8 
F     -3   -4   -7   -7    9   -7   -1    1   -6    2    1   -4   -4   -3   -6   -6   -4   -1    5    5   -2 
G      1   -5    1   -2   -4    8   -2   -7   -2   -5   -5    0   -4   -2   -1    2   -2   -5   -6   -5   -3 
H     -3   -8   -3   -2   -1   -4   13   -4   -1   -4   -4    1   -3    2    0   -1   -3   -5   -4    1   -1 
I     -2   -9   -7   -5    0   -7   -5    7   -4    3    2   -5   -3   -4   -5   -6   -2    4   -3   -2   -1 
K     -2   -9   -3   -1   -6   -4   -2   -4    8   -4   -3   -1   -2    1    2   -4   -2   -3   -7   -4   -5 
L     -2   -7   -7   -5    2   -7   -4    3   -3    7    4   -4   -4   -3   -4   -6   -3    2   -2   -1   -1 
M     -1   -3   -2   -3    1   -6   -3    2   -2    4   10   -2   -4    1   -3   -4   -2    1   -1   -1    0 
N     -2   -6    3    1   -3   -1    0   -5    0   -4   -2    8   -2    0    0    0   -1   -5   -4   -2   -4 
P     -2  -10   -4   -3   -6   -4   -4   -4   -4   -5   -6   -2   10   -3   -3   -3   -2   -5   -7   -2   -5 
Q     -3   -6   -2    2   -4   -3    1   -5    1   -4   -1   -1   -2    8    1   -3   -2   -4   -5   -4   -3 
R     -3   -7   -4   -1   -6   -4   -1   -5    4   -4   -3   -2   -3    1   10   -3   -3   -4   -5   -3   -4 
S      1   -7   -1   -2   -5   -1   -4   -5   -2   -5   -3    0    0   -1   -2    8    2   -3   -6   -4   -2 
T     -1   -7   -3    1   -4   -4   -3   -2   -2   -3   -2    0   -2   -1   -2    1    7   -1   -9   -4   -1 
V      0   -8   -7   -3   -1   -6   -5    4   -4    1    0   -4   -3   -3   -4   -5    0    6   -4   -2    1 
W     -4   -7   -7   -4    4   -6   -3   -3   -7   -2   -1   -7   -6   -2   -5   -6   -7   -4   15    3   -7 
Y     -3   -5   -2   -4    4   -5    1   -1   -3   -1   -1   -2   -4   -3   -3   -5   -3   -2    2   10   -2 
J      2   -1   -5   -8   -1   -3   -1   -1   -6    0    1   -2   -3    0   -4   -2    1    1   -7   -1   17 
U      0   16   -6   -9   -3   -5   -4   -4   -8   -3   -1   -4   -6   -3   -7   -5   -2   -2   -6   -4   13 
>PasON 44
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      6   -4   -3   -1   -4   -1   -4   -2   -2   -2   -1   -3   -1   -2   -3    0    1    0   -5   -3    1 
C     -2   18   -7   -8   -5   -8  -10   -9  -10   -8   -4   -8  -12  -10   -9   -9   -9   -8   -6   -6   -2 
D     -3   -6    9    1   -6   -2   -4   -6   -2   -7   -7    2   -3   -1   -4   -1   -2   -5   -7   -5   -6 
E     -2   -8    0    8   -6   -4   -3   -7   -2   -6   -4   -2   -3    2   -3   -3    0   -4   -6   -4   -9 
F     -3   -3   -7   -7    9   -7   -2    1   -6    2    1   -4   -4   -4   -6   -5   -4   -1    4    4   -1 
G      1   -5   -1   -1   -4    9   -2   -7   -2   -5   -4    0   -4   -2   -1    0   -1   -5   -5   -6   -1 
H     -3   -8   -3   -2   -1   -4   13   -4   -1   -4   -4    1   -3    2    0   -3   -3   -6   -5    1   -2 
I     -2   -9   -7   -4    0   -7   -5    7   -4    3    2   -4   -3   -4   -5   -5   -2    4   -3   -1   -1 
K     -3   -9   -2   -1   -6   -4   -2   -5    8   -4   -4   -1   -3    0    2   -3   -3   -3   -7   -3   -6 
L     -2   -7   -6   -5    2   -7   -5    3   -4    7    4   -4   -4   -3   -4   -5   -3    2   -1   -1   -1 
M     -1   -3   -8   -3    1   -6   -3    3   -2    4   10   -2   -4    1   -3   -3   -2    1   -2    0    0 
N     -2   -6    2    0   -3   -2    1   -5   -1   -4   -2    9   -3   -1    0    4   -1   -5   -6   -2   -4 
P     -2  -10   -4   -3   -6   -4   -3   -4   -4   -5   -5   -3   11   -3   -3   -2   -2   -5   -6   -5   -5 
Q     -3   -7   -2    2   -4   -4    1   -5    1   -4   -1   -1   -2    9    0   -3   -2   -4   -5   -4    0 
R     -3   -7   -3   -1   -6   -4   -1   -5    4   -4   -4   -2   -4    0   10   -3   -3   -4   -5   -3   -5 
S      0   -7   -1   -2   -5   -1   -4   -5   -3   -5   -3    0    0   -2   -3    7    2   -3   -7   -5   -2 
T     -1   -7   -3   -1   -4   -4   -3   -2   -3   -3   -2    0   -2   -2   -3    2    7   -1   -8   -4   -1 
V      0   -8   -7   -4   -1   -6   -5    4   -5    1    1   -5   -3   -3   -5   -4   -1    6   -3   -2    1 
W     -4   -7   -7   -3    4   -6   -3   -3   -7   -2   -1   -7   -5   -3   -6   -6   -8   -4   15    2   -6 
Y     -3   -5   -4   -4    4   -6    1   -1   -3   -1   -1   -3   -4   -4   -3   -4   -3   -2    2   10   -3 
J      3   -1   -4   -9   -1   -3    0   -1   -6    0    1   -2   -2    7   -4   -1    1    1   -6   -3   16 
U      0   16   -6   -8   -3   -5   -3   -4   -8   -3   -1   -5   -6    3   -6   -4   -3   -2   -6   -4   12 
>PasOn 45
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      6   -4   -3   -1   -4   -1   -4   -2   -2   -2   -1   -3   -1   -2   -3    1    0    0   -5   -3    1 
C     -3   18   -8   -9   -5   -8   -9   -9  -10   -8   -4   -7  -11   -8   -8   -8   -8   -8   -2   -6   -2 
D     -2   -6    9    1   -6   -2   -4   -6   -2   -6   -6    1   -3   -1   -3   -1   -3   -5   -7   -5   -6 
E     -2   -7    1    8   -6   -4   -3   -6   -1   -5   -4   -1   -2    1   -2   -3   -2   -4   -6   -5   -8 
F     -3   -4   -7   -7    9   -7   -1    1   -6    2    1   -4   -4   -4   -6   -3   -4   -1    4    5   -1 
G      1   -5   -1   -1   -4    8   -2   -7   -2   -5   -4    0   -4   -2   -1    2   -2   -5   -5   -5   -2 
H     -3   -8   -3   -1   -1   -4   13   -4   -1   -4   -3    1   -3    2    0   -3   -3   -5   -5    1   -2 
I     -2   -9   -7   -4    0   -7   -5    7   -4    3    2   -4   -3   -4   -5   -3   -2    4   -3   -1    0 
K     -2   -9   -2    0   -6   -4   -2   -4    8   -4   -4    0   -2    1    2   -3   -2   -3   -7   -4   -5 
L     -2   -7   -6   -5    2   -7   -4    3   -4    7    4   -4   -4   -3   -4   -5   -2    2   -1   -1    0 
M     -1   -3   -8   -3    1   -6   -3    2   -2    4    9   -2   -4    1   -3   -1    1    1   -2    0    2 
N     -2   -6    2    0   -3   -1    0   -5    0   -4   -2    8   -2    0    0    0   -1   -5   -6   -2   -3 
P     -2  -10   -3   -2   -6   -4   -4   -4   -3   -5   -5   -3   10   -3   -3    0   -2   -5   -4   -4   -5 
Q     -3   -6   -2    2   -4   -3    1   -5    1   -4   -1   -1   -2    9    1   -2   -2   -4   -5   -4   -3 
R     -3   -7   -3    0   -6   -4    0   -5    4   -4   -3    0   -3    1   10   -3   -2   -4   -5   -3   -4 
S      1   -7   -2   -1   -5   -1   -4   -5   -2   -5   -3    0    0   -2   -2    6    2   -3   -7   -4   -1 
T     -1   -7   -3   -1   -4   -4   -3   -2   -2   -3   -2   -1   -2   -1   -3    1    7   -1   -8   -4    0 
V      0   -8   -7   -4   -1   -6   -5    4   -4    1    1   -4   -3   -3   -4   -4    0    6   -3   -2    1 
W     -4   -7   -7   -4    4   -6   -3   -3   -7   -2   -1   -7   -6   -2   -5   -1   -7   -4   15    3   -5 
Y     -3   -5   -4   -4    4   -5    1   -1   -3   -1   -1   -2   -4   -4   -3   -4   -3   -2    2   10   -2 
J      2   -1   -4   -8   -1   -3   -1   -1   -6    0    2   -2   -3    0   -4    3    4    1   -6   -2   15 
U      0   16   -6   -8   -3   -5   -4   -4   -8   -3   -1   -5   -6   -3   -6   -1    0   -2   -3   -4   11 
>PasoN 46
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      6   -4   -3   -1   -4   -1   -4   -2   -2   -2    0   -3   -1   -2   -3    0   -1    0   -4   -4    2 
C     -3   18   -7   -8   -5   -8  -10   -9  -11   -8    1   -8  -11  -10  -10   -8   -8   -8   -6   -5   -1 
D     -2   -6    9    1   -6   -2   -3   -6   -2   -6   -7    2   -3   -1   -3   -1   -2   -5   -6   -5   -5 
E     -2   -7    0    8   -6   -4   -2   -6   -1   -5   -4   -1   -2    2   -2   -3   -2   -4   -6   -5   -8 
F     -3   -4   -7   -7    9   -7   -2    1   -6    2    1   -4   -4   -4   -6   -5   -4   -1    4    4   -1 
G      1   -5   -1   -1   -4    8   -2   -7   -2   -5   -5    0   -4   -2   -1    2   -2   -5   -4   -6   -2 
H     -3   -8   -3   -2   -1   -4   13   -4   -1   -4   -4    1   -3    2    0   -3   -3   -5   -4    1   -2 
I     -2   -9   -7   -4    0   -7   -5    7   -4    3    2   -5   -3   -4   -6   -5   -2    4   -3   -2   -1 
K     -2   -9   -2    0   -6   -4   -2   -4    8   -4   -4   -1   -2    1    2   -3   -2   -3   -6   -4   -6 
L     -2   -7   -6   -5    2   -7   -5    3   -4    7    4   -4   -4   -3   -4   -5   -3    2   -1   -1   -1 
M     -1   -3   -8   -3    1   -6   -3    2   -2    4   10   -2   -4    1   -3   -4   -2    1   -1   -1    0 
N     -2   -6    2    0   -3   -1    1   -5    0   -4   -2    8   -2    0    0    1    0   -5   -6   -2   -4 
P     -2  -10   -3   -2   -6   -4   -3   -4   -4   -5   -5   -2   10   -2   -3   -2   -2   -5   -6   -4   -5 
Q     -3   -6   -2    2   -4   -3    1   -5    1   -4   -1   -1   -2    9    1   -2   -2   -4   -4   -5   -3 
R     -3   -7   -3   -1   -6   -4   -1   -5    4   -4   -4   -1   -3    0   10   -3   -2   -4   -4   -3   -5 
S      1   -7   -1   -1   -5   -1   -4   -5   -2   -5   -3    1    0   -2   -2    7    2   -3   -6   -4   -2 
T     -1   -7   -3   -1   -4   -4   -3   -2   -2   -3   -2   -1   -2   -1   -3    1    7   -1   -7   -4   -1 
V      0   -8   -7   -4   -1   -6   -5    4   -5    1    0   -5   -3   -3   -5   -4   -1    6   -3   -2    1 
W     -4   -7   -6   -3    4   -6   -2   -3   -7   -2   -1   -7   -6   -2   -6   -5   -7   -4   15    2   -6 
Y     -3   -5   -4   -4    4   -5    1   -1   -3   -1   -1   -3   -4   -3   -3   -1   -3   -2    3   11   -2 
J      2   -1   -4   -9   -1   -3    1   -1   -6    0    6   -2   -3    0   -4   -1    1    1   -6   -3   16 
U      0   16   -6   -8   -3   -5   -3   -4   -8   -3    3   -5   -6   -4   -7   -4   -3   -2   -6   -4   12 
>Pason 47
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -1   -3   -1   -5   -4   -4   -2   -2   -3   -1   -3   -1   -1   -3    0    0   -1   -4   -3    1 
C      4   18   -7   -9    0  -13   -9   -9  -10   -3   -4   -7  -11   -8   -9   -8   -7   -9   -6   -6   -1 
D     -2   -5    9    1   -5   -4   -3   -6   -2  -10   -7    2   -3   -1   -3    2   -2   -6   -6   -5   -5 
E     -3   -7    1    8   -7   -7   -2   -6    0   -5   -4   -1   -2    2   -2   -3   -1   -4   -6   -4   -7 
F     -6   -2   -7   -7   10   -6   -1    0   -6    2    0   -4   -4   -3   -6   -5   -4   -1    4    4   -1 
G      4   -5   -1   -1   -6   10   -2   -7   -2   -5   -5    1   -3   -2   -1    1   -1   -6   -5   -5   -2 
H     -3  -10   -3   -1   -2   -6   13   -5   -1   -8   -3    1   -3    2    0   -3   -3   -6   -4    1   -1 
I     -5  -12   -6   -4    0   -9   -5    6   -4    1    2   -4   -3   -4   -5   -5   -2    4   -3   -1    0 
K     -6  -11   -2    0   -7   -6   -1   -5    8   -4   -4    0   -2    1    2   -1   -2   -4   -6   -3   -5 
L     -4   -5   -6   -5    2   -8   -4    3   -4    8    4   -4   -4   -3   -4   -3   -3    2   -1   -1    0 
M     -2    0   -7   -3    1   -6   -3    5   -2    3    9   -2   -4    1   -3   -1   -2    1   -1   -1    0 
N     -1   -4    2    0   -3   -5    1   -5    0   -7   -3    8   -2    0    0    1   -1   -6   -6   -1   -3 
P     -3  -13   -3   -2   -7   -8   -3   -5   -3   -8   -6   -2   10   -2   -3   -1   -2   -5   -6   -4   -5 
Q     -6   -9   -2    2   -3   -6    1   -3    1   -5    1    0   -2    8    1    0   -2   -4   -4   -3   -3 
R     -4   -9   -3    0   -7   -6    0   -5    4   -3   -4   -1   -3    1   10   -1   -2   -5   -4   -3   -4 
S     -1   -6   -2   -1   -4   -3   -3   -4   -2   -6   -1    0    0   -1   -2    6    2   -4   -6   -4   -2 
T     -1   -7   -3   -1   -3   -7   -3   -2   -2   -5   -1   -1   -2   -1   -2    1    7   -2   -7   -3    0 
V     -1   -8   -6   -4   -2   -9   -4    4   -4   -1    0   -4   -3   -3   -4   -4    0    7   -3   -2    1 
W     -4   -9   -6   -4    4   -6   -2   -3   -7   -2   -1   -7   -6   -2   -6   -5   -7   -4   15    3   -5 
Y     -2   -8   -4   -4    3   -7    1   -2   -3   -5   -2   -2   -4   -3   -3   -5   -3   -1    3   10   -2 
J      6    3   -4   -8   -2   -5   -1   -1   -6   -4    7   -2   -3    0   -4    4    0    1   -6   -2   16 
U      5   16   -6   -8   -1   -8   -4   -4   -8   -3    3   -4   -6   -3   -6    1   -3   -3   -6   -4   12 
>CASON 48
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -4   -5   -2   -3   -1   -3   -2   -1   -2   -1   -4   -1   -2   -2    0   -3    0   -5   -3    0 
C     -5   18   -3  -10   -4   -6   -8   -8   -7   -8   -5   -3   -9   -9   -6  -12  -10   -7   -5   -6   -2 
D      0   -4   10    0   -4   -1   -3   -4   -1   -3   -6    4   -1    0   -2    1    0   -3   -7   -5   -6 
E      0   -5    1    9   -3   -2   -1   -3    1   -3   -2   -4   -1    2    0   -1   -1   -2   -6   -5   -7 
F     -4   -4   -8   -9    8   -6   -2    0   -4    1    1   -1   -5   -5   -5   -7   -4   -2    4    4   -3 
G      0   -7   -2   -4   -5    7   -2   -4   -3   -5   -5   -1   -2   -1   -3   -1   -2   -4   -6   -6   -2 
H     -1   -7   -5   -3    0   -3   12   -3   -1   -2   -3   -2   -2    0    1   -6    0   -3   -2    1   -2 
I     -3  -10  -10   -6   -1   -6   -5    6   -3    2    1   -5   -4   -5   -4   -7   -3    3   -3   -2   -2 
K      1   -6   -3   -2   -3   -2   -1   -2    7   -1   -2   -1   -1    0    3   -2   -3   -1   -6   -4   -3 
L     -3   -8  -10   -7    1   -6   -5    2   -3    6    3   -4   -4   -3   -3   -6   -2    1   -2   -1   -1 
M     -1   -9  -12   -6    1   -5   -3    1   -2    3   10   -6   -5    1   -3   -4   -6    0   -2   -1   -1 
N      0   -4    2    0   -2    0    1   -3    0   -2   -1    8   -2    0    0    1    2   -2   -6   -4   -5 
P      1   -6   -7   -1   -2   -1   -3   -1   -1   -1   -4   -4   10    2   -2    2   -1   -1   -7   -5   -4 
Q      0   -5   -2    1   -2   -2    0   -2    2   -2    0   -1   -1    9    1   -1   -1   -1   -3   -5   -3 
R     -1   -4   -4    0   -3   -2    0   -2    3   -2   -2   -2   -2    1    9    0   -1   -1   -3   -4   -4 
S      1   -7    0   -1   -3    0   -2   -3   -1   -3   -2    2    0   -2   -1    6    4   -2   -4   -4   -2 
T     -1   -5   -1   -1   -2   -2   -1   -1   -1   -1   -2    1   -1   -1   -1    3    6    1   -7   -4   -2 
V     -2   -8   -7   -5   -2   -5   -4    3   -3    1    0   -8   -4   -3   -3   -6   -1    5   -4   -2    1 
W     -5   -4  -13   -2    4   -4   -3   -3   -5   -1   -2   -5   -6   -4   -3   -2   -4   -4   15    3   -8 
Y     -3   -6   -2   -5    5   -5    1   -1   -2   -1    0   -4   -4   -3   -2   -4   -6   -2    3   11   -3 
J     -1   -3  -12  -11   -2   -3    0   -1   -4   -2   -3  -11   -6   -7   -4   -1   -4    1   -5   -3   17 
U     -3   16   -5  -10   -3   -5   -3   -4   -6   -5   -4   -5   -7   -8   -5   -5   -7   -2   -5   -4   13 
>CASOn 49
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -5   -2   -1   -3   -1   -2   -2   -1   -2   -1   -2   -1   -1   -2    0   -1    0   -4   -5    0 
C     -5   18  -11   -9   -4   -7  -11   -8  -14   -8   -5   -6   -9   -8   -7  -12  -11   -8   -6   -8   -3 
D     -1   -5    7    1   -5   -1   -3   -4   -3   -4   -5    2   -1    1   -3   -1   -1   -4   -8   -4   -6 
E      0   -6    2    7   -4   -2   -1   -3    1   -3   -2   -3   -1    2   -1   -1   -2   -2   -7   -6   -7 
F     -4   -4  -10   -8    9   -6    0    0   -5    1    1   -4   -5   -5   -7   -3   -2   -1    4    6   -3 
G      0   -7   -1   -3   -5    8   -4   -5   -4   -5   -5    0   -2   -2   -4    0   -2   -4   -7   -4   -2 
H     -2   -7   -3   -2    0   -3   12   -4   -1   -3   -3   -1   -2    0    1   -4   -7   -3   -3    1   -2 
